"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
02M212,P.S. 212 Midtown West,Elementary,EMS,Kathleen Loua,Bonnie Laboy,1,02M408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Non-Zoned School,0,,,,Good Standing,02,MFSC
02M217,P.S./I.S. 217 Roosevelt Island,K-8,EMS,Mandana Beckman,Bonnie Laboy,0,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"K: Zoned School, MS: Screened",0,,,,Good Standing,02,MFSC
02M225,Ella Baker School,K-8,EMS,Joshua Satin,Bonnie Laboy,1,"02M449, 02M459, 02M519, 02M565, 75M226",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"K: Non-Zoned School, MS: School-managed Admissions",0,,,,Good Standing,02,MFSC
02M234,P.S. 234 Independence School,Elementary,EMS,Lisa Ripperger,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M255,M.S. 255 Salk School of Science,Middle,EMS,Rhonda Perry,Bonnie Laboy,1,02M040,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MS: Screened,0,,,,Good Standing,02,MFSC
02M260,M.S. 260 Clinton School Writers & Artists,Middle,EMS,Jonathan Levin,Bonnie Laboy,1,02M297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MS: Screened, HS: Screened",0,,,,Good Standing,02,MFSC
02M260,M.S. 260 Clinton School Writers & Artists,High School,HS,Jonathan Levin,Bonnie Laboy,1,02M297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MS: Screened, HS: Screened",0,,,,Good Standing,02,MFSC
02M267,"East Side Elementary School, PS 267",Elementary,EMS,Medea Mcevoy,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M276,Battery Park City School,K-8,EMS,Theresa Ruyter,Bonnie Laboy,1,75M094,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"K: Zoned School, MS: Limited Unscreened",0,,,,Good Standing,02,MFSC
02M280,Manhattan Early College School for Advertising,High School,HS,Matthew Tossman,Fred Walsh,1,"02M135, 02M282, 02M520",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
